"algorithms","NONE","RUM","NearMiss","ENN","Tomek Link","ROM","OSS","SMOTE","BSMOTE","SMOTE+Tomek","SMOTE+ENN"
"Recall",0.721431168733465,0.79556301970082,0.732191826037589,0.769856013160245,0.791521701912269,0.795948252157251,0.736105621024543,0.795390994684443,0.826191960861943,0.831727326772583,0.828174317404299
"Precision",0.565161261056808,0.542511426344617,0.527299059360323,0.549918721331647,0.545887633988946,0.542328085145093,0.560011240147806,0.540544573269955,0.527803722777653,0.522310012452308,0.526925495558172
"Pf",0.317906718476201,0.337115307882599,0.380183747118211,0.353312720510014,0.350597418134953,0.331764585290647,0.328654503957167,0.338809759813851,0.350873400027024,0.362612256791304,0.362087405417525
"F-measure",0.570609926378473,0.587755167256597,0.550013770150711,0.582391011874253,0.585393311498417,0.587941566577266,0.572903060981854,0.587494203939004,0.583667764211524,0.58750537829487,0.585525948038021
"AUC",0.67365383350638,0.672114063964644,0.651923666149016,0.675476091741522,0.676395866473482,0.673439252861178,0.67369140893505,0.67268699126811,0.666570699373735,0.670413989349412,0.671127443312231
"MCC",0.339725571599352,0.33193215306165,0.294009832834018,0.340239605829977,0.336603449620252,0.334638432076218,0.338791820403575,0.332391237012194,0.326572695616644,0.327883452086435,0.327922645541604
"Popt",0.723318977247271,0.776778881065353,0.696101561151906,0.755003218774337,0.774698407831078,0.780246125131769,0.720783994854989,0.782845328661443,0.814948518156026,0.809238924914437,0.804755319600102
"Recall@20%",0.617975229593989,0.681401786906374,0.555195925247672,0.649400417321546,0.670580605610267,0.677658963471517,0.625967905291872,0.709104841533693,0.72451055777327,0.701424886377595,0.698002236184424
"Precision@20%",0.547983533599116,0.516109751452781,0.498569665592312,0.527731596484526,0.521383906172619,0.51730732925008,0.540446744590595,0.515058817596107,0.499885846377763,0.497330229190467,0.498897085509902
"F-measure@20%",0.542459507159818,0.53772787464136,0.519492196599115,0.539525932663945,0.547123329759519,0.536938065072932,0.540450269539745,0.538871233703522,0.541916071495643,0.546825092934076,0.542319266005115
"PMI",0.434355234685506,0.476977251298162,0.430078196035643,0.472690725388172,0.498393538460139,0.477748864215902,0.440796081531414,0.508061920830944,0.521211972956024,0.508820843745028,0.503310802405468
"IFA",10,8,22.5,10,9,8,10,9,9,9,9
