"X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X0.10"
"Recall",1,5,6.33333333333333,4,5,3,2.33333333333333,4,5.66666666666667,8.66666666666667,7.66666666666667
"Precision",8.66666666666667,4.33333333333333,1,5.66666666666667,4,6.33333333333333,7.33333333333333,5.33333333333333,4,1.33333333333333,2.33333333333333
"Pf",8.66666666666667,4.66666666666667,2.33333333333333,5.66666666666667,4.33333333333333,6.33333333333333,7.33333333333333,5.33333333333333,4.33333333333333,1.33333333333333,2.33333333333333
"F-measure",4.66666666666667,4.33333333333333,1.66666666666667,4.33333333333333,4.66666666666667,6.33333333333333,4.33333333333333,6,5.66666666666667,4.66666666666667,5
"AUC",4.33333333333333,5,1.33333333333333,4,3.66666666666667,7,4.33333333333333,7,4.66666666666667,3,4
"MCC",5.33333333333333,4.33333333333333,1,5,4,6.33333333333333,5,6,4.33333333333333,3.33333333333333,4.33333333333333
"Popt",1.33333333333333,4,2.33333333333333,2.33333333333333,3.66666666666667,2.66666666666667,2,3.33333333333333,4.33333333333333,5.66666666666667,5
"Recall@20%",1,5.33333333333333,5.33333333333333,3.66666666666667,5.33333333333333,3.33333333333333,2,4,5.33333333333333,8.66666666666667,7.66666666666667
"Precision@20%",8.66666666666667,4.66666666666667,1.33333333333333,5.66666666666667,4.33333333333333,6.33333333333333,7.33333333333333,5.66666666666667,4.33333333333333,1.33333333333333,2.66666666666667
"F-measure@20%",4.66666666666667,4.66666666666667,1.33333333333333,4,4.33333333333333,6.66666666666667,4.33333333333333,6.66666666666667,6,4,4.33333333333333
"PCI@20%",8.33333333333333,4.33333333333333,2.33333333333333,5.33333333333333,4,6,7,5,4,1.33333333333333,2.33333333333333
"IFA",6,4.66666666666667,1,4,4.33333333333333,6.33333333333333,5.33333333333333,5.33333333333333,4.33333333333333,2.33333333333333,2.66666666666667
