projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,max
Fabric8,0.453,0.558,0.556,0.553,0.485,0.479,0.558,0.562,0.561,0.564,0.558,,0.564
JGroups,0.356,0.471,0.471,0.43,0.353,0.353,0.471,0.468,0.466,0.47,0.471,,0.471
Camel,0.492,0.562,0.548,0.563,0.499,0.501,0.562,0.562,0.555,0.559,0.558,,0.563
Tomcat,0.548,0.598,0.6,0.614,0.556,0.561,0.598,0.606,0.602,0.601,0.592,,0.614
Brackets,0.6,0.651,0.646,0.671,0.606,0.61,0.667,0.66,0.662,0.664,0.674,,0.674
Neutron,0.744,0.778,0.768,0.781,0.748,0.762,0.778,0.778,0.778,0.78,0.778,,0.781
Spring,0.611,0.661,0.611,0.676,0.616,0.616,0.659,0.659,0.676,0.663,0.671,,0.676
Broadleaf,0.5,0.572,0.561,0.565,0.529,0.54,0.583,0.577,0.57,0.576,0.576,,0.583
Nova,0.699,0.734,0.723,0.73,0.699,0.7,0.734,0.734,0.732,0.734,0.725,,0.734
Npm,0.34,0.511,0.519,0.481,0.381,0.366,0.511,0.511,0.512,0.512,0.472,,0.519
AVG,0.534,0.61,0.6,0.606,0.547,0.549,0.612,0.612,0.611,0.612,0.608,,0.612
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,12.378,11.015,11.913,2.392,2.679,12.747,12.695,12.632,12.763,12.066,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
max,0.744,0.778,0.768,0.781,0.748,0.762,0.778,0.778,0.778,0.78,0.778,,
